short_name,cn_name
Haaland,哈兰德
Mbappé,姆巴佩
Bellingham,贝林厄姆
Vinicius Jr,维尼修斯
Saka,萨卡
Foden,福登
Kane,凯恩
Rodri,罗德里
De Bruyne,德布劳内
Van Dijk,范戴克
Salah,萨拉赫
Courtois,库尔图瓦
Messi,梅西
Ronaldo,克里斯蒂亚诺·罗纳尔多
Lewandowski,莱万多夫斯基
Valverde,巴尔韦德
Lautaro Martínez,劳塔罗·马丁内斯
Oblak,奥布拉克
Alisson,阿利松
Yamal,亚马尔
Musiala,穆西亚拉
Rice,德克兰·赖斯
Wirtz,维尔茨
Pedri,佩德里
Donnarumma,多纳鲁马
Ederson,埃德森
Saliba,萨利巴
Griezmann,格列兹曼
Osimhen,维克托·奥西门
Bruno Fernandes,布鲁诺·费尔南德斯
Kimmich,基米希
Maignan,迈克·迈尼昂
Kim Min-jae,金玟哉
Son Heung-min,孙兴慜
Leão,拉斐尔·莱奥
Theo Hernández,特奥·埃尔南德斯
Hakimi,阿什拉夫
Alexander-Arnold,亚历山大-阿诺德
Palmer,科尔·帕尔默
Mitoma,三笘薫
Kubo,久保建英
Modrić,莫德里奇
Gündoğan,京多安
Caicedo,凯塞多
Enzo Fernández,恩佐·费尔南德斯
